Rating,CocoaPercentage,Company,Origine spécifique du harirot
2.75,67%,Moho,"Umoho R., Toledo District, San Felipe"
3,70%,Molucca,La Red
2.75,70%,Molucca,Indonesia
3.25,70%,Molucca,Peru
2.75,70%,Momotombo,Matagalpa
2.75,70%,Momotombo,Mombacho
3.25,70%,Momotombo,Oscuro
3.5,72%,Monarque,Oko Caribe
3.25,70%,Monsieur Truffe,Papaua New Guinea
3.25,70%,Montecristi,Manabi
3.5,63%,Montecristi,Manabi
3.5,85%,Montecristi,Manabi
3.5,70%,Muchomas (Mesocacao),Nicaragua
3.5,80%,Muchomas (Mesocacao),Nicaragua
2.75,68%,Mutari,"Kokoa Kamili, batch 1 SRB"
2.75,71%,Mutari,"Oko Caribe, batch 1 SRB"
2.75,68%,Mutari,"Ambanja, batch 1 SRB"
3,80%,Mutari,"Tien Giang, batch 1 SRB"
2.5,58%,Nahua,"Costa Rica, Oscuro"
3,70%,Nahua,"Costa Rica, Oscuro"
3.75,70%,Naive,Trinidad & Tobago
3.75,78%,Naive,"Maranon Canyon, Fortunato No. 4"
2.5,71%,Naive,Grenada
3.25,70%,Naï¿½ve,Nicaragua
2.75,75%,Naï¿½ve,Chuao
3,70%,Naï¿½ve,Barinas
3.5,85%,Nanea,Criollo Blend
2.25,72%,Nathan Miller,Peru
2.5,70%,Nathan Miller,Hispaniola
2.5,73.5%,Nathan Miller,Madagascar
3.5,70%,Nathan Miller,Ghana
2.5,70%,Neuhaus (Callebaut),Papua New Guinea
3.75,67%,Neuhaus (Callebaut),Manickchand Estate
1,73%,Neuhaus (Callebaut),Dark
2,73%,Neuhaus (Callebaut),West Africa
2.75,75%,Neuhaus (Callebaut),Sao Tome
3,71%,Neuhaus (Callebaut),Ocumare
2.25,72%,Nibble,Patanemo
2.75,72%,Nibble,Elvesia P.
3,72%,Nibble,"Ambanja, Sambirano Valley"
3,72%,Nibble,Tumbes
2.75,75%,Night Owl,Peru
3.5,75%,Night Owl,Ecuador
3,75%,Noble Bean aka Jerjobo,Ghana
3,75%,Noble Bean aka Jerjobo,Moho Valley
3.25,75%,Noble Bean aka Jerjobo,Maranon Canyon
3,70%,Noir d' Ebine,Venezuela
3,70%,Noir d' Ebine,Ecuador
3,70%,Nova Monda,"La Patriota, cacao Indio, purple label"
2.75,75%,Nova Monda,"La Dalia, Matagalpa,cacao Bisesto,green label"
3.25,80%,Nova Monda,"Punta Galera, cacao Nacional, gold label"
3.75,70%,Nuance,"Ghana, 2013"
2.75,70%,Nuance,"Ecuador, 2013"
3,70%,Nuance,"Canoabo, 2013"
3.5,70%,Nuance,"Sambirano Valley, 2012"
3.75,70%,Nuance,La Red
3.5,70%,Nugali,Fazenda Leolinda
2.5,70%,Oakland Chocolate Co.,Jamaica
3.75,70%,Obolo,Pangoa
3.75,70%,Obolo,"Pangoa, w/ nibs"
3.75,70%,Ocelot,Virunga
4,75%,Ocelot,Piura
2.75,100%,Ocho,Sang Yum Coop
3.5,70%,Ocho,Sang Yum Coop
2.75,66%,Ocho,"PNG, Devotion"
3,70%,Ocho,"PNG, Revolution"
3.25,88%,Ocho,"PNG, Voodoo"
3.5,74%,Ocho,"PNG, Nib Bar"
2.75,70%,Ohiyo,"San Juan Estate, Gran Couva"
3,70%,Ohiyo,Tanzania
3.5,70%,Oialla by Bojessen (Malmo),"Sylvestre, Oialla"
3,72%,Olive and Sinclair,Dominican Republic prototype
3,72%,Olive and Sinclair,Ghana prototype
2.75,67%,Olive and Sinclair,Dark 67
3,75%,Olive and Sinclair,Dark 75
2,76%,Olivia,Carribean-Raw
2.75,76%,Olivia,Carribean
2.75,85%,Olivia,Carribean
3,85%,Olivia,Carribean-Raw
2.75,80%,Omanhene,Ghana
3.75,70%,Omnom,"Kakao Kamili, Kilombero Valley"
3,70%,Omnom,Papua New Guinea
3.5,66%,Omnom,Madagascar
2.75,74%,organicfair,Maya Mountain
2.75,72%,organicfair,La Red
2.75,72%,organicfair,Nicaraqua
3,72%,organicfair,Caribe
3,72%,organicfair,Mindo
2.75,68%,Original Beans (Felchlin),Papua Kerafat
3.25,80%,Original Beans (Felchlin),"Grand Cru Blend No.1, 5 yr. Anniversary Ed"
3.75,66%,Original Beans (Felchlin),"Alto Beni, Wild Harvest, Itenez R. 24hr c."
3,70%,Original Beans (Felchlin),"D.R. Congo, Cru Virunga"
3,75%,Original Beans (Felchlin),"Piura, Apotequil, ""Porcelana"" 72hr c."
3.25,68%,Original Beans (Felchlin),"Alto Beni, Wild Harvest, Itenez R., 60hr c."
3,60%,Original Hawaiin Chocolate Factory,"Hawai'i, Kona Grand Cru E."
3,60%,Original Hawaiin Chocolate Factory,"Hawai'i, Kona Estate Grown"
3,65%,Orquidea,Peru
3,72%,Orquidea,Peru
4,70%,Pacari,"Sierra Nevada, Tutu Iku"
3.25,70%,Pacari,Garaua
3.5,70%,Pacari,Cumbia
3.75,70%,Pacari,Montubia
4,70%,Pacari,Tangara
2.75,85%,Pacari,"Ecuador, raw"
4,70%,Pacari,Piura
3.5,70%,Pacari,Nube- prototype
2.5,60%,Pacari,Esmeraldas
2.75,65%,Pacari,Manabi
3,72%,Pacari,Los Rios
2,100%,Pacari,Raw
3.5,70%,Pacari,Raw
2.75,70%,Palette de Bine,Lachua
3,72%,Palette de Bine,Maya Mtn
3.25,70%,Palette de Bine,"Silvestre, La Paz, Beni"
3.25,70%,Palette de Bine,"San Juan Estate, Gran Couva"
3.5,72%,Palette de Bine,Kokoa Kamili
3.75,72%,Palette de Bine,Lam Dong
2.75,72%,Palette de Bine,"Alto Beni, Palos Blancos"
3.75,78%,Palette de Bine,Sambirano
2.75,75%,Palette de Bine,"Camino Verde P., Balao, Guayas"
3.5,75%,Palette de Bine,Duo- Gran Couva & Camino Verde
3.75,70%,Palette de Bine,Gran Couva
3,76%,Pangea,Matasawalevu
3.5,65%,Park 75,South America
3.25,70%,Parliament,Kilombero Valley
3.5,70%,Parliament,"Lachua, Q'egchi families"
3,70%,Parliament,Alto Beni
3.5,70%,Parliament,Oko Caribe
2.5,55%,Pascha,Peru
2.75,70%,Pascha,Peru
3.75,70%,Patric,Signature Blend
4,75%,Patric,Madagascar
3.5,67%,Patric,Madagascar
3.5,70%,Patric,"Rio Caribe, Paria Penninsula"
4,70%,Patric,Madagascar
4,67%,Patric,"Piura, Choc. Garage Exclusive"
2.25,73%,Paul Young,"Madagascar, w/ shell"
2.75,64%,Paul Young,"Madagascar, w/ shell"
3,82%,Peppalo,Dominican Republic
3.25,70%,Pierre Marcolini,"Haut Penja, w/ nibs"
3,75%,Pierre Marcolini,Chuao
3.25,75%,Pierre Marcolini,Trinite
3.75,78%,Pierre Marcolini,"Baracoa, Cuba"
3,85%,Pierre Marcolini,"Peru, Las Pampas P."
3,72%,Pierre Marcolini,"Bahia Brazil, Fazenda Sao Pedro"
3,72%,Pierre Marcolini,"Porcelana, Tabasco, Finca La Joya"
4,70%,Pierre Marcolini,Cabosse
3.75,72%,Pierre Marcolini,"Los Rios, Puerto Romero, Equateur"
4,72%,Pierre Marcolini,"Sambirano, Ambanja, Madagascar"
3.5,85%,Pierre Marcolini,Fleur de Cacao
4,72%,Pierre Marcolini,"Porcelana, Tabasco, Limited Ed."
3,72%,Pierre Marcolini,"Kendem Lembu, Java"
4,72%,Pierre Marcolini,"Ocumare, Puerto Cabello, Venezuela"
2.5,80%,Pinellas,Wampusirpi Region
2.5,62%,Pitch Dark,Tenor
2.75,80%,Pitch Dark,Johe
2.75,80%,Pitch Dark,Chuno
2.75,80%,Pitch Dark,Nicalizo
3.25,80%,Pitch Dark,Rugoso
3.25,73%,Pitch Dark,Akesson Estate
2.5,73%,Pitch Dark,Namau Village
3.25,73%,Pitch Dark,"Camino Verde P., Balao, Guayas, ""Fruity"""
3.5,73%,Pitch Dark,"Camino Verde P., Balao, Guayas, ""Floral"""
2.5,76%,Pomm (aka Dead Dog),"La Red, 2011"
2.75,82%,Pomm (aka Dead Dog),Peru
3.75,70%,Potomac,"Oko Caribe, Duarte Province, 2016 H."
3.75,70%,Potomac,"Cuyagua, 2013"
3.5,70%,Potomac,Upala w/ nibs
3,70%,Potomac,"Upala, Batch 18"
2.75,70%,Potomac,"San Martin, Amazonian Highlands"
3.5,70%,Potomac,Bahia
3.75,82%,Potomac,"Upala, Batch 12"
3.25,75%,Pralus,Peru
3.25,75%,Pralus,"Porcelana, S. of Lake Maracaibo"
3.5,75%,Pralus,Chuao
2,75%,Pralus,Cuyagua
3,75%,Pralus,Papouasie
3,100%,Pralus,"Sambirano Valley, Le 100%"
2,75%,Pralus,Dominican Republic-Organic
3.5,75%,Pralus,"Monte Alegre, Diego Badero"
4,75%,Pralus,Claudio Corallo w/ nibs
3,75%,Pralus,"Monte Alegre (Itacare), Brazil"
3.5,75%,Pralus,Tanzania
3.5,75%,Pralus,Sao Tome & Principe
3.5,75%,Pralus,Trinidad
3.75,75%,Pralus,"Madagascar, Nosy Be Isle."
3.5,75%,Pralus,"Java, Indonesie"
3.5,75%,Pralus,"Barlovento, Venezuela"
4,75%,Pralus,Jamaique
3,75%,Pralus,Equateur
3,75%,Pralus,Vanuatu
3.25,75%,Pralus,Ghana
3.5,75%,Pralus,Colombie
4,80%,Pralus,Fortissima
3,75%,Pralus,Cuba
3,75%,Pralus,"Caracas, Venezuela and Ghana"
3.5,75%,Pralus,"Djakarta, Java and Ghana"
3.5,77%,Pump Street Bakery,"Chocoan Rainforest, Teroro Escondido, ESM"
3.5,70%,Pump Street Bakery,"Crayfish Bay Estate, 2014"
3.5,74%,Pump Street Bakery,"Akesson's, batch 4411"
2.75,80%,Pump Street Bakery,Honduras
2.75,75%,Pump Street Bakery,"Patanemo Vil., Carabobo State, Tisano family"
3,75%,Pump Street Bakery,Guantupi River
3.25,72%,Pump Street Bakery,"Akessons Estate, Sambirano, Ambanja"
2.75,85%,Pump Street Bakery,Guantupi River
2.75,73%,Pura Delizia,Venezuela
3.25,75%,Q Chocolate,Brazil
3.5,85%,Q Chocolate,Brazil
2.75,55%,Q Chocolate,Brazil
3.25,80%,Q Chocolate,Brazil
3,60%,Q Chocolate,Brazil
3.25,65%,Q Chocolate,Brazil
2.75,70%,Quetzalli (Wolter),"Mexico, Lot 28022016"
3,74%,Quetzalli (Wolter),"Uranga, Lot 22032016"
3,70%,Raaka,Amazon Basin Blend
2.75,75%,Raaka,Virunga
3.25,75%,Raaka,Madagascar
3.5,85%,Raaka,La Red
2.75,70%,Rain Republic,Suchitepequez E.
3,75%,Rancho San Jacinto,Ecuador
2.5,70%,Ranger,"San Martin, Batch 2"
3.25,80%,Ranger,"Chulucanas, Batch 1"
3.5,73%,Ranger,"Tumbes, Batch 2"
3.25,75%,Raoul Boulanger,Piura
2.5,70%,Raw Cocoa,Raw
3.25,75%,Republica del Cacao (aka Confecta),Esmeraldas
2.5,75%,Republica del Cacao (aka Confecta),"Los Rios, Vinces"
3,75%,Republica del Cacao (aka Confecta),Manabi
3.5,67%,Republica del Cacao (aka Confecta),El Oro
3.75,75%,Republica del Cacao (aka Confecta),Los Rios
3.75,75%,Ritual,"Camino Verde P., Balao, 2015 harvest, batch8"
3.5,85%,Ritual,"Camino Verde P., Balao, Guayas, 2014"
3.5,70%,Ritual,"Mid Mountain, 2014"
3.75,75%,Ritual,"Toledo District, Maya"
3,75%,Ritual,"Maranon, Cajamarca"
4,75%,Ritual,Sambirano
3.25,75%,Ritual,"Camino Verde P., 2012, Balao, Guayas"
3.5,75%,Ritual,Gran Couva
3.5,75%,Ritual,Costa Rica
3.25,70%,Roasting Masters,"La Dorado, light roast"
3.25,70%,Roasting Masters,"Tapanti, light roast"
3.25,70%,Roasting Masters,Maleku
3.25,75%,Robert (aka Chocolaterie Robert),Madagascar
3.25,68%,Robert (aka Chocolaterie Robert),Madagascar w/ nibs
3.5,66%,Rococo (Grenada Chocolate Co.),"Gru Grococo, St. Andrews"
3.75,75%,Rogue,"La Masica, Batch 1, FHIA Research Center"
3.75,70%,Rogue,"Caranero, Choc. Garage Exclusive"
3.25,75%,Rogue,"Tranquilidad, Batch 1"
3.75,80%,Rogue,Porcelana
3.5,70%,Rogue,"Akessons Estate, Sambirano, 2013"
3.5,70%,Rogue,"Hispaniola, 2013"
4,75%,Rogue,"Silvestre, Batch 7, 2013"
3.75,75%,Rogue,"Bachelor's Hall E., St. Thomas Parish"
3.75,75%,Rogue,"Camino Verde P., Balao, Guayas"
3,75%,Rogue,"Silvestre, Batch 1, 2011"
3.75,75%,Rogue,Piura
3.5,70%,Rogue,Rio Caribe
2.75,70%,Rogue,"Hispaniola, 2008"
2.75,70%,Rogue,Jamaica
2.75,70%,Rogue,"Sambirano, 2008"
3,70%,Rogue,Trinidad
2.5,84%,Rozsavolgyi,Sur del Lago
2.25,76%,Rozsavolgyi,"Rio Caribe Superior, Paria Penninsula"
2.5,72%,Rozsavolgyi,"Sambirano, Akesson Estate"
3.5,73%,Rozsavolgyi,Carenero Superior
2.5,71%,Rozsavolgyi,Porcelana
3.5,70%,Rozsavolgyi,"Aragua, Trincheras"
2.75,77%,Rozsavolgyi,Principe
3.5,64%,S.A.I.D.,Malgascio
1.5,100%,S.A.I.D.,100 percent
3,70%,S.A.I.D.,Samana
3.5,72%,S.A.I.D.,Arawak
3.5,72%,S.A.I.D.,Latino
2.75,83%,Sacred,Midnight
3.25,69%,Sacred,Twilight
3.5,70%,Salgado,Bahia Superior
3.5,70%,Salgado,Esmeraldas
3.5,70%,Salgado,Carenero Superior
3.5,70%,Salgado,Rio Arriba
2.75,75%,Santander (Compania Nacional),Colombian 2008
3,70%,Santander (Compania Nacional),Colombian w/ nibs
2,53%,Santander (Compania Nacional),Colombian Semi Dark
3,65%,Santander (Compania Nacional),Colombian
4,70%,Santander (Compania Nacional),Colombian Dark
2.75,70%,Santome,Sao Tome
4,78%,Scharffen Berger,San Juan de Cheni
3.75,68%,Scharffen Berger,Markham Valley
3.5,68%,Scharffen Berger,Camahogne
3.75,65%,Scharffen Berger,Amina
3.75,68%,Scharffen Berger,Tome Acu
4,65%,Scharffen Berger,Asante
3.75,72%,Scharffen Berger,Ben Tre
3,72%,Scharffen Berger,Finisterra
3,72%,Scharffen Berger,Las Islas
3,62%,Scharffen Berger,Nibby
3.75,75%,Scharffen Berger,Cuyagua
3,75%,Scharffen Berger,Antilles (Trin/Gren/DR/Ven)
2,82%,Scharffen Berger,Extra Dark
3.5,70%,Scharffen Berger,Bittersweet
2,68%,Scharffen Berger,Kumasi Sambirano
2,70%,Scharffen Berger,Jamaica a l'ancienne
3,62%,Scharffen Berger,Semisweet
2.75,70%,Seaforth,Dominican Republic
2.75,70%,Seaforth,Grenada
3.25,72%,Shark Mountain,Jamaica
3.5,73%,Shark Mountain,Papua New Guinea
2.75,77%,Shark Mountain,Cuyagua
3.5,74%,Shark Mountain,ROIG
3,75%,Shark Mountain,Ecuador
3.25,72%,Shark Mountain,"Belize, 2013"
2,73%,Shark's,Hilo
2.5,73%,Shark's,"Hilo, w/ added cocoa butter"
3.25,70%,Shattel,Tingo Maria
3.5,75%,Shattell,Porcelana
3.25,82%,Sibu,Oro
3.5,70%,Sibu,Oscuro
2.5,70%,Sibu Sura,Peru
3,67%,Silvio Bessone,Maya Belize
3.25,65%,Silvio Bessone,"Trintade, Sao Tome"
3.25,60%,Silvio Bessone,"Bahia, Scavina"
3,68%,Silvio Bessone,"Porcelana, Colombia, Amazonas"
3.5,73%,Sirene,Wild Bolivia
3.5,73%,Sirene,Kokoa Kamili Coop
3.75,73%,Sirene,"Esmeraldas, Salazar Farm"
3,100%,Sirene,"Somia Plantation, 2012"
3,100%,Sirene,"Camino Verde P., Balao, Guayas, 2012"
3,73%,Sirene,Lachua w/ cane sugar
3.25,73%,Sirene,"Lachua w/ maple sugar, batch 5"
3.25,73%,Sirene,Pisa
3.75,67%,Sirene,"Somia Plantation, 2012"
3.75,73%,Sirene,"Somia Plantation, 2012"
3.75,73%,Sirene,"Camino Verde P., Balao, Guayas"
2.75,70%,Sjolinds,Ghana
3,72%,Sjolinds,Nicaragua
3.5,70%,"Smooth Chocolator, The","Oko Caribe, DOR005"
3.75,70%,"Smooth Chocolator, The","Guasare, La Sierra de Perija, batch gua001"
4,70%,"Smooth Chocolator, The","Porcelana, Sorotaima,Machiques,batch pcl001"
3.75,70%,"Smooth Chocolator, The","Maya Mtn, Moho R., Toledo D."
3,70%,"Smooth Chocolator, The",Tien Giang
3.75,67%,"Smooth Chocolator, The",Australia
3.25,70%,"Smooth Chocolator, The","Chimelb, Lanquin, Alta Verapaz, b-GUA001"
3.25,65%,"Smooth Chocolator, The",Akesson's Estate
3.5,70%,"Smooth Chocolator, The",Akesson's Estate
3.75,67%,"Smooth Chocolator, The",Kokoa Kamili
3.75,70%,"Smooth Chocolator, The",San Juan Estate
4,72%,"Smooth Chocolator, The",Camino Verde
2.75,72%,"Smooth Chocolator, The",Bolivia
3.5,65%,"Smooth Chocolator, The","Papua New Guinea, triple roast, batch 1"
3,67%,"Smooth Chocolator, The","Maranon, batch 2"
3.75,70%,"Smooth Chocolator, The","Chuao, batch 3"
1.5,67%,Snake & Butterfly,Ghana
3,68%,Snake & Butterfly,Madagascar
3.25,68%,Snake & Butterfly,Ecuador
3.5,70%,Sol Cacao,"Ecuador, Batch 1"
3,72%,Sol Cacao,Madagascar
2.75,68%,Solkiki,"Maranon, Fortunato No. 4"
2.75,85%,Solkiki,"Castillo, Hispaniola, unroasted"
3.25,70%,Solomons Gold,Solomon Island
3.25,75%,Solomons Gold,Solomon Island w/ nibs
3,70%,Solstice,Bundibugyo
3,70%,Solstice,Sambirano
3,70%,Solstice,Amazonas
3.25,70%,Solstice,Bolivia
3.25,70%,Solstice,San Martin
3.5,70%,Solstice,Wasatch
3.5,62%,Soma,"Oko Caribe, Duarte P., Collab w Chocosol"
3.5,70%,Soma,"Sambirano Valley, Black Science, B-60307.0"
3.5,70%,Soma,"Bahia Black, batch bra50722.1"
3.75,75%,Soma,"Abstract S. w/ Jamaica nibs,batch abs60323.0"
3.75,70%,Soma,"Chuno, San Jose de Bocay, Pantasma R.,B.S."
4,70%,Soma,"Tien Giang, Black S., batch VIT60420.0"
3.25,70%,Soma,"Camino Verde, Black S., batch cvu6030.0"
3.5,70%,Soma,CSB Chama
4,75%,Soma,Porcelana
3.5,70%,Soma,"La Tronca, Matagalpa"
3.75,70%,Soma,Maranon Canyon
3.25,70%,Soma,La Dalia
3.5,80%,Soma,"Camino Verde P., Balao, Guayas"
3.75,70%,Soma,"Espiritu Santo, 'Smoke Monster'"
3.25,70%,Soma,Little Big Man
3.75,77%,Soma,"Rizek Cacao, Domin. Rep."
3.25,70%,Soma,Java
2.75,70%,Soma,"Apurimac, El Quinacho Co-op"
3.75,70%,Soma,"Sangre Grande P., Trinidad"
3.25,70%,Soma,Chef's Blend
3.75,70%,Soma,Patanemo
4,88%,Soma,Crazy 88
4,70%,Soma,"Maracaibo, El Vigia"
4,67%,Soma,Equator
3.25,70%,Soma,Orinoco
4,70%,Soma,"Bachelor's Hall E., St. Thomas Parish"
3.25,70%,Soma,Noula Coop
3.75,70%,Soma,O'ahu
4,70%,Soma,"Dual Origins, Sambirano, Elvesia"
4,70%,Soma,"Dancing in Your Head, 5 bean blend"
3.5,70%,Soma,Cahabon Region
3.75,70%,Soma,Carenero Superior
3.5,70%,Soma,Eastern Promises
3.5,85%,Soma,Papua New Guinea
2.75,70%,Soma,"Grenada, Black Science"
3.5,70%,Soma,"Alto Beni, Wild Bolivian"
4,64%,Soma,Peruvian
4,70%,Soma,"Three Amigos(Chuao, Wild Bolivia, D.R.)"
3.75,70%,Soma,"Elvesia P., Black Science"
3.5,70%,Soma,Chuao
3.75,70%,Soma,Black Science Blend 1
3,70%,Soma,Hispaniola
3.5,70%,Soma,Africa
3,70%,Soma,Conacado
3.5,70%,Soma,Papua New Guinea
3.75,70%,Soma,Madagascar
3.75,70%,Soma,Ocumare
3.25,70%,Somerville,Nicaragua
3.5,70%,Somerville,"Hawaiian, Big Island"
3.25,70%,Soul,Dominican Republic
3.5,70%,Soul,Madagascar
3.5,75%,Soul,Venezuela
3.25,75%,Soul,Ecuador
3.25,77%,Soul,Papua New Guinea
3.5,80%,Soul,Tanzania
3,70%,Spagnvola,AgroCriso Plantation
3,80%,Spagnvola,AgroCriso Plantation
3.25,75%,Spagnvola,AgroCriso Plantation
3.75,70%,Spencer,Dominican Republic
3.5,70%,Spencer,Ecuador
2.75,70%,Spencer,Peru
3.5,70%,Spencer,"Dominican Republic, lot D82R"
3.75,70%,Spencer,"Ecuador, lot E432314L"
3.75,70%,Spencer,"Madagascar, lot M0403R"
2.75,72%,Spencer,Malekula Island
3,70%,Sprungli (Felchlin),Alto Beni
3,70%,SRSLY,Dominican Republic
2.25,84%,SRSLY,Dominican Republic
3,70%,Starchild,"Bolivar, Arriba"
3,70%,Starchild,Hispaniola
3,70%,Starchild,Cacao Verapaz
3,70%,Starchild,Rio Tuma
3,70%,Starchild,Sambirano Valley
2.75,68%,Stella (aka Bernrain),"Bahia, Agri-Forestal Plantation, 2010"
3.25,72%,Stella (aka Bernrain),India
3.5,84%,Stone Grindz,"Ecuador, Midnight Dark"
3.5,70%,Stone Grindz,"Ecuador, Twilght Dark"
2.5,65%,StRita Supreme,"Samar, East Visayas region"
2.5,70%,StRita Supreme,"Samar, East Visayas region"
2.75,75%,StRita Supreme,"Samar, East Visayas region"
2.75,67%,Sublime Origins,Sambirano
3.25,78%,Sublime Origins,Moho Valley
2.5,61%,Summerbird,Peru
3,71%,Summerbird,Peru
2.75,70%,Suruca Chocolate,Venezuela
3,60%,Suruca Chocolate,Venezuela
2.75,70%,Svenska Kakaobolaget,Sri Lanka
3.25,70%,Szanto Tibor,Nacional
3.25,88%,Szanto Tibor,Baracoa
3.25,70%,Szanto Tibor,Ambolikapiky
3.75,70%,Szanto Tibor,"Winak, Sumaco"
3.25,70%,Szanto Tibor,"Ben Tre, Mekong Delta"
3.5,70%,Szanto Tibor,"Fazenda Sempre Firme, Bahia"
3.5,70%,Szanto Tibor,Porcelana
3.75,70%,Szanto Tibor,Baracoa
3.5,70%,Szanto Tibor,"Autumn, Primary Harvest, 2012"
3.5,70%,Szanto Tibor,"Spring, Secondary Harvest, 2012"
3.25,70%,Szanto Tibor,Cacao Blanco
3.25,70%,Szanto Tibor,Santo Domingo
3.25,70%,Szanto Tibor,Millot Plantation
3.75,70%,Szanto Tibor,"Ayacucho, ""El Guinacho"""
3,70%,Szanto Tibor,Crudo
2.75,70%,Tabal,Costa Rica
2.75,70%,Tabal,Dominican Republic
2.5,70%,Tabal,"Chiapas, Lacandon Jungle"
3,70%,Tabal,Peru
3,70%,Tablette (aka Vanillabeans),Colombia
3.25,62%,Tablette (aka Vanillabeans),Papua
3.25,60%,Tablette (aka Vanillabeans),Vietnam
2.75,77%,Tablette (aka Vanillabeans),Trinidad
3.25,70%,Tan Ban Skrati,"Paramaribo, batch 20160043-01"
3,68%,Taza,Belize
3.25,87%,Taza,Alto Beni
2.75,75%,Taza,Chiapan
3,70%,Taza,"Dark, Stone Ground"
2,62%,TCHO,West Africa
3.25,99%,TCHO,Peru- Ecuador
2.75,60%,TCHO,TCHOPro 60.5
3,68%,TCHO,TCHOPro 68
2.5,70%,TCHO,Chocolatey-beta
2.5,70%,TCHO,Fruity-beta
2.75,70%,TCHO,Citrus-beta
2.5,70%,TCHO,Nutty-beta
2.75,70%,Tejas,Concepcion
3,70%,Tejas,Bayou Blend
3,70%,Tejas,Aranama
3.5,70%,Tejas,Presidio
3.25,70%,Tejas,"La Bahia, w/ cane juice"
2,70%,Tejas,Capistrano
3.25,70%,Tejas,"La Bahia, w/ cane sugar"
2.75,70%,Tejas,San Jose
3,70%,Tejas,Capistrano*
3.25,70%,Tejas,Espada
2.75,70%,Tejas,Espada
3,80%,Tejas,Concepcion*
3.25,67%,Tejas,San Jose
3.5,70%,Tejas,"Bahia, Floresta Azul,Good Friends Reserve#3"
2.75,70%,Terroir,Peru
3.75,70%,Terroir,Belize
3.75,70%,Terroir,Madagascar
3.25,70%,Terroir,Ecuador
3.5,70%,Terroir,Oko Caribe
3.75,70%,Terroir,Guatemala
3.25,77%,Terroir,Ecuador
3.75,67%,Terroir,Madagascar
3.75,73%,Terroir,Uganda
3,70%,The Barn,Peru
3.25,65%,Theo,Congo w/ nibs
3.5,65%,Theo,Madagascar
2.5,75%,Theo,Ivory Coast
3,84%,Theo,"Ghana, Kumasi"
2,91%,Theo,"Venezuela; Barinos, Merida, Tachron"
3,75%,Theo,"Ghana, Panama, Ecuador"
3.25,70%,Theobroma,"Piura Select, Cacao Blanc"
3.75,72%,Timo A. Meyer,"Belize, med roast"
3.25,81%,To'ak (Ecuatoriana),Manabi
4,70%,Tobago Estate (Pralus),"Roxborough, Tobago"
3,77%,Tocoti,"Wild Bolivian, Jungle Love"
2.75,72%,Tocoti,Venezuela
3,74%,Tocoti,Dominican Republic
3,72%,Treehouse,Conacado
3.5,72%,Tsara (Cinagra),"Ambanja, Tsara Valley"
2.75,75%,twenty-four blackbirds,Oko Caribe
3.5,75%,twenty-four blackbirds,"Cedeno, lot 271"
3.5,75%,twenty-four blackbirds,Madagascar
3.25,68%,twenty-four blackbirds,Dominican Republic
2.5,75%,twenty-four blackbirds,Palos Blancos
2.75,73%,twenty-four blackbirds,Dominican Republic
3,60%,Two Ravens,Peru
3.75,63%,Un Dimanche A Paris,Dominican Republic
2.75,74%,Undone,Matagalpa
3,70%,Undone,Nourish
3,72%,Upchurch,"Madagascar, Sassy Bar"
3.25,72%,Upchurch,"Tanzania, Party Bar"
3.25,65%,Urzi,"Sur del Lago, Merida"
4,63%,Valrhona,"Piura, Illanka, Quemazon"
3.5,70%,Valrhona,"Andoa, Grand Cru blend"
3.5,64%,Valrhona,"Loma Sotavento, 2013"
4,69%,Valrhona,"Otucan, Grand Cru"
3.25,56%,Valrhona,Caraque
4,64%,Valrhona,"Porcelana, Pedegral"
3.75,64%,Valrhona,Tainori
3.75,66%,Valrhona,Alpaco
3.5,68%,Valrhona,Nyangbo
3,72%,Valrhona,Araguani
3.75,65%,Valrhona,Chuao 2002 P.
4,64%,Valrhona,Manjari
1.5,85%,Valrhona,Le Noir Extra Amer
2.5,85%,Valrhona,Abinao
2.75,71%,Valrhona,Le Noir Amer
3.25,64%,Valrhona,"Porcelana, Maracaibo, Palmira P. 2006"
3,66%,Valrhona,Caraibe
4,70%,Valrhona,Guanaja
2.5,64%,Valrhona,Gran Couva 2005 P.
3,64%,Valrhona,"Porcelana, Maracaibo, Palmira P. 2005"
3.5,64%,Valrhona,"Sambirano, Ampamakia 2005, Millot P."
2.5,72%,Vanleer (Barry Callebaut),Manhattan
2.75,65%,Vanleer (Barry Callebaut),Napa
2.75,72%,Vao Vao (Chocolaterie Robert),Madagascar
2.75,76%,Vao Vao (Chocolaterie Robert),Madagascar
2.75,80%,Vao Vao (Chocolaterie Robert),Madagascar
3,70%,Vao Vao (Chocolaterie Robert),Madagascar
3,68%,Vao Vao (Chocolaterie Robert),Madagascar w/ nibs
3.25,64%,Vao Vao (Chocolaterie Robert),Madagascar
3.25,70%,Vicuna,Palos Blancos
3.25,70%,Vicuna,Palos Blancos + nibs
3.25,90%,Videri,Dominican Republic
3.5,75%,Videri,Trinidad
3.5,75%,Videri,Mindo
3.75,90%,Videri,Dark
3.25,70%,Videri,Classic
3.5,70%,Vietcacao (A. Morin),"Ben Tre, Mekong Delta, MoCay"
3,75%,Vintage Plantations,San Martin
2,100%,Vintage Plantations (Tulicorp),"Los Rios, Rancho Grande 2004/2007"
2,90%,Vintage Plantations (Tulicorp),"Los Rios, Rancho Grande 2004/2007"
